"Title","LFS: ILO unemployment rate: Northern Ireland: All: %: SA"
"CDID","ZSFB"
"Source dataset ID","LMS"
"PreUnit",""
"Unit","%"
"Release date","21-04-2020"
"Next release","19 May 2020"
"Important notes",
"1992","12.3"
"1993","12.5"
"1994","11.7"
"1995","10.6"
"1996","9.7"
"1997","8.6"
"1998","7.6"
"1999","7.1"
"2000","6.2"
"2001","6.0"
"2002","5.9"
"2003","5.6"
"2004","5.0"
"2005","4.6"
"2006","4.4"
"2007","3.9"
"2008","4.4"
"2009","6.4"
"2010","7.1"
"2011","7.2"
"2012","7.4"
"2013","7.5"
"2014","6.4"
"2015","6.1"
"2016","5.7"
"2017","4.6"
"2018","3.6"
"2019","2.7"
"1992 Q2","12.4"
"1992 Q3","12.3"
"1992 Q4","12.3"
"1993 Q1","12.6"
"1993 Q2","12.8"
"1993 Q3","12.3"
"1993 Q4","12.2"
"1994 Q1","12.1"
"1994 Q2","11.9"
"1994 Q3","11.5"
"1994 Q4","11.3"
"1995 Q1","11.2"
"1995 Q2","10.9"
"1995 Q3","10.2"
"1995 Q4","10.0"
"1996 Q1","9.1"
"1996 Q2","10.6"
"1996 Q3","9.9"
"1996 Q4","9.3"
"1997 Q1","8.7"
"1997 Q2","8.1"
"1997 Q3","8.6"
"1997 Q4","8.8"
"1998 Q1","8.5"
"1998 Q2","7.0"
"1998 Q3","7.9"
"1998 Q4","6.8"
"1999 Q1","7.2"
"1999 Q2","7.6"
"1999 Q3","7.1"
"1999 Q4","6.6"
"2000 Q1","6.6"
"2000 Q2","6.7"
"2000 Q3","5.5"
"2000 Q4","6.0"
"2001 Q1","6.3"
"2001 Q2","6.0"
"2001 Q3","6.0"
"2001 Q4","5.8"
"2002 Q1","6.2"
"2002 Q2","5.5"
"2002 Q3","6.2"
"2002 Q4","5.6"
"2003 Q1","5.3"
"2003 Q2","5.1"
"2003 Q3","5.6"
"2003 Q4","6.3"
"2004 Q1","5.2"
"2004 Q2","5.0"
"2004 Q3","5.1"
"2004 Q4","4.7"
"2005 Q1","4.7"
"2005 Q2","4.9"
"2005 Q3","4.3"
"2005 Q4","4.6"
"2006 Q1","4.2"
"2006 Q2","4.2"
"2006 Q3","4.8"
"2006 Q4","4.3"
"2007 Q1","4.1"
"2007 Q2","3.6"
"2007 Q3","3.9"
"2007 Q4","4.2"
"2008 Q1","4.5"
"2008 Q2","3.9"
"2008 Q3","4.1"
"2008 Q4","5.2"
"2009 Q1","6.2"
"2009 Q2","6.5"
"2009 Q3","7.0"
"2009 Q4","5.9"
"2010 Q1","6.9"
"2010 Q2","6.6"
"2010 Q3","6.9"
"2010 Q4","7.9"
"2011 Q1","7.3"
"2011 Q2","7.3"
"2011 Q3","7.3"
"2011 Q4","7.0"
"2012 Q1","6.7"
"2012 Q2","7.7"
"2012 Q3","7.7"
"2012 Q4","7.6"
"2013 Q1","8.0"
"2013 Q2","7.3"
"2013 Q3","7.4"
"2013 Q4","7.3"
"2014 Q1","7.1"
"2014 Q2","6.5"
"2014 Q3","6.2"
"2014 Q4","5.8"
"2015 Q1","6.2"
"2015 Q2","6.3"
"2015 Q3","6.0"
"2015 Q4","5.9"
"2016 Q1","6.1"
"2016 Q2","5.8"
"2016 Q3","5.6"
"2016 Q4","5.4"
"2017 Q1","5.3"
"2017 Q2","5.1"
"2017 Q3","4.0"
"2017 Q4","4.1"
"2018 Q1","3.0"
"2018 Q2","3.7"
"2018 Q3","3.8"
"2018 Q4","3.8"
"2019 Q1","2.9"
"2019 Q2","3.1"
"2019 Q3","2.5"
"2019 Q4","2.4"
"1992 APR","12.3"
"1992 MAY","12.4"
"1992 JUN","12.3"
"1992 JUL","12.4"
"1992 AUG","12.3"
"1992 SEP","12.3"
"1992 OCT","12.4"
"1992 NOV","12.3"
"1992 DEC","12.4"
"1993 JAN","12.4"
"1993 FEB","12.6"
"1993 MAR","12.9"
"1993 APR","12.8"
"1993 MAY","12.8"
"1993 JUN","12.6"
"1993 JUL","12.5"
"1993 AUG","12.3"
"1993 SEP","12.2"
"1993 OCT","12.3"
"1993 NOV","12.2"
"1993 DEC","12.2"
"1994 JAN","12.1"
"1994 FEB","12.1"
"1994 MAR","12.0"
"1994 APR","11.8"
"1994 MAY","11.9"
"1994 JUN","11.9"
"1994 JUL","11.8"
"1994 AUG","11.5"
"1994 SEP","11.3"
"1994 OCT","11.4"
"1994 NOV","11.3"
"1994 DEC","11.5"
"1995 JAN","11.3"
"1995 FEB","11.2"
"1995 MAR","11.3"
"1995 APR","11.2"
"1995 MAY","10.9"
"1995 JUN","10.4"
"1995 JUL","10.8"
"1995 AUG","10.2"
"1995 SEP","10.8"
"1995 OCT","10.3"
"1995 NOV","10.0"
"1995 DEC","9.4"
"1996 JAN","9.4"
"1996 FEB","9.1"
"1996 MAR","9.6"
"1996 APR","9.7"
"1996 MAY","10.6"
"1996 JUN","10.1"
"1996 JUL","10.0"
"1996 AUG","9.9"
"1996 SEP","9.7"
"1996 OCT","9.8"
"1996 NOV","9.3"
"1996 DEC","9.1"
"1997 JAN","9.4"
"1997 FEB","8.7"
"1997 MAR","8.4"
"1997 APR","7.8"
"1997 MAY","8.1"
"1997 JUN","8.3"
"1997 JUL","8.2"
"1997 AUG","8.6"
"1997 SEP","8.8"
"1997 OCT","8.6"
"1997 NOV","8.8"
"1997 DEC","8.5"
"1998 JAN","8.4"
"1998 FEB","8.5"
"1998 MAR","8.4"
"1998 APR","7.5"
"1998 MAY","7.0"
"1998 JUN","7.3"
"1998 JUL","8.0"
"1998 AUG","7.9"
"1998 SEP","7.4"
"1998 OCT","7.3"
"1998 NOV","6.8"
"1998 DEC","6.8"
"1999 JAN","6.9"
"1999 FEB","7.2"
"1999 MAR","7.4"
"1999 APR","7.4"
"1999 MAY","7.6"
"1999 JUN","7.5"
"1999 JUL","7.5"
"1999 AUG","7.1"
"1999 SEP","7.0"
"1999 OCT","6.5"
"1999 NOV","6.6"
"1999 DEC","6.4"
"2000 JAN","6.8"
